domain,dimension,group,indicator,date,populationTotal,GNIperCap,value
social,water,Top-20,sanitation,2002,935296307,43398.63919685054,92.34649638779564
social,water,Top-20,sanitation,2003,942122788,44125.49867071128,92.4421758790563
social,water,Top-20,sanitation,2004,949160670,45360.31205676695,92.55532061865212
social,water,Top-20,sanitation,2005,956671960,46339.739089575065,92.65947504068761
social,water,Top-20,sanitation,2006,965007677,47361.489117933364,92.76260131949233
social,water,Top-20,sanitation,2007,974345115,48139.00266712716,92.87490387140953
social,water,Top-20,sanitation,2008,983914324,47830.143229568035,92.98980023305839
social,water,Top-20,sanitation,2009,992744916,45933.1415427743,93.10987323315034
social,water,Top-20,sanitation,2010,1000328899,47152.79166464184,93.22845946437167
social,water,Top-20,sanitation,2011,1007273592,47986.54308915962,93.34267215038017
social,water,Top-20,sanitation,2012,1014215427,48321.12846211396,93.46319064543356
social,water,Top-20,sanitation,2013,1020902378,48746.868015185006,93.58230019945795
social,water,Top-20,sanitation,2014,1027306478,49446.43630483054,93.7208908907446
social,water,Top-20,sanitation,2015,1033609731,50247.243224593556,93.84114457678132
social,water,Top-20,sanitation,2016,1039880970,50866.160519470584,93.9587920436463
social,water,Top-20,sanitation,2017,1045991731,51829.88864026748,94.06718543864056
social,water,Top-20,sanitation,2018,1051831448,52689.38926899402,94.16342819925858
social,water,Top-20,sanitation,2019,1057352256,53312.121834383004,94.25248831560444
social,water,Top-20,sanitation,2020,1060561711,50618.97870022755,94.31321970254092
social,water,Top-20,sanitation,2021,1062182828,53358.02419762599,94.35485028928206
social,water,Top-20,sanitation,2022,1064679936,54607.022115445485,94.37923390010837
